ID,trial,timepoint,condition,AOI
1,1,1,C1,1
1,1,2,C1,0
1,1,3,C1,0
1,1,4,C1,1
1,1,5,C1,1
1,1,6,C1,0
1,1,7,C1,0
1,1,8,C1,0
1,1,9,C1,0
1,1,10,C1,0
1,1,11,C1,0
1,1,12,C1,1
1,1,13,C1,1
1,1,14,C1,0
1,1,15,C1,0
1,1,16,C1,1
1,1,17,C1,1
1,1,18,C1,0
1,1,19,C1,0
1,1,20,C1,1
1,2,1,C1,1
1,2,2,C1,1
1,2,3,C1,0
1,2,4,C1,1
1,2,5,C1,0
1,2,6,C1,1
1,2,7,C1,1
1,2,8,C1,0
1,2,9,C1,0
1,2,10,C1,1
1,2,11,C1,1
1,2,12,C1,0
1,2,13,C1,1
1,2,14,C1,0
1,2,15,C1,0
1,2,16,C1,0
1,2,17,C1,0
1,2,18,C1,0
1,2,19,C1,0
1,2,20,C1,1
1,3,1,C1,0
1,3,2,C1,1
1,3,3,C1,1
1,3,4,C1,0
1,3,5,C1,1
1,3,6,C1,1
1,3,7,C1,1
1,3,8,C1,1
1,3,9,C1,1
1,3,10,C1,0
1,3,11,C1,0
1,3,12,C1,0
1,3,13,C1,1
1,3,14,C1,1
1,3,15,C1,0
1,3,16,C1,0
1,3,17,C1,0
1,3,18,C1,1
1,3,19,C1,0
1,3,20,C1,0
1,4,1,C1,0
1,4,2,C1,0
1,4,3,C1,1
1,4,4,C1,1
1,4,5,C1,1
1,4,6,C1,0
1,4,7,C1,1
1,4,8,C1,1
1,4,9,C1,1
1,4,10,C1,1
1,4,11,C1,0
1,4,12,C1,1
1,4,13,C1,0
1,4,14,C1,1
1,4,15,C1,0
1,4,16,C1,0
1,4,17,C1,0
1,4,18,C1,1
1,4,19,C1,0
1,4,20,C1,0
1,5,1,C1,0
1,5,2,C1,0
1,5,3,C1,1
1,5,4,C1,0
1,5,5,C1,0
1,5,6,C1,0
1,5,7,C1,1
1,5,8,C1,0
1,5,9,C1,0
1,5,10,C1,0
1,5,11,C1,1
1,5,12,C1,0
1,5,13,C1,0
1,5,14,C1,0
1,5,15,C1,1
1,5,16,C1,0
1,5,17,C1,0
1,5,18,C1,0
1,5,19,C1,0
1,5,20,C1,0
1,6,1,C1,1
1,6,2,C1,1
1,6,3,C1,1
1,6,4,C1,1
1,6,5,C1,1
1,6,6,C1,1
1,6,7,C1,0
1,6,8,C1,1
1,6,9,C1,0
1,6,10,C1,0
1,6,11,C1,1
1,6,12,C1,0
1,6,13,C1,0
1,6,14,C1,0
1,6,15,C1,1
1,6,16,C1,0
1,6,17,C1,0
1,6,18,C1,0
1,6,19,C1,0
1,6,20,C1,0
1,7,1,C1,0
1,7,2,C1,0
1,7,3,C1,1
1,7,4,C1,0
1,7,5,C1,1
1,7,6,C1,1
1,7,7,C1,1
1,7,8,C1,0
1,7,9,C1,0
1,7,10,C1,1
1,7,11,C1,1
1,7,12,C1,0
1,7,13,C1,1
1,7,14,C1,1
1,7,15,C1,1
1,7,16,C1,1
1,7,17,C1,0
1,7,18,C1,0
1,7,19,C1,1
1,7,20,C1,1
1,8,1,C1,0
1,8,2,C1,0
1,8,3,C1,0
1,8,4,C1,0
1,8,5,C1,0
1,8,6,C1,0
1,8,7,C1,0
1,8,8,C1,0
1,8,9,C1,1
1,8,10,C1,1
1,8,11,C1,1
1,8,12,C1,1
1,8,13,C1,0
1,8,14,C1,0
1,8,15,C1,1
1,8,16,C1,1
1,8,17,C1,1
1,8,18,C1,1
1,8,19,C1,1
1,8,20,C1,1
1,9,1,C1,0
1,9,2,C1,1
1,9,3,C1,1
1,9,4,C1,0
1,9,5,C1,1
1,9,6,C1,1
1,9,7,C1,1
1,9,8,C1,1
1,9,9,C1,0
1,9,10,C1,0
1,9,11,C1,1
1,9,12,C1,0
1,9,13,C1,0
1,9,14,C1,0
1,9,15,C1,1
1,9,16,C1,0
1,9,17,C1,0
1,9,18,C1,0
1,9,19,C1,1
1,9,20,C1,1
1,10,1,C1,1
1,10,2,C1,0
1,10,3,C1,1
1,10,4,C1,1
1,10,5,C1,1
1,10,6,C1,0
1,10,7,C1,0
1,10,8,C1,0
1,10,9,C1,1
1,10,10,C1,1
1,10,11,C1,0
1,10,12,C1,1
1,10,13,C1,0
1,10,14,C1,0
1,10,15,C1,1
1,10,16,C1,1
1,10,17,C1,0
1,10,18,C1,1
1,10,19,C1,0
1,10,20,C1,0
1,11,1,C1,0
1,11,2,C1,1
1,11,3,C1,1
1,11,4,C1,0
1,11,5,C1,1
1,11,6,C1,0
1,11,7,C1,1
1,11,8,C1,0
1,11,9,C1,0
1,11,10,C1,0
1,11,11,C1,1
1,11,12,C1,0
1,11,13,C1,1
1,11,14,C1,0
1,11,15,C1,1
1,11,16,C1,0
1,11,17,C1,0
1,11,18,C1,1
1,11,19,C1,0
1,11,20,C1,0
1,12,1,C1,0
1,12,2,C1,0
1,12,3,C1,1
1,12,4,C1,0
1,12,5,C1,0
1,12,6,C1,0
1,12,7,C1,1
1,12,8,C1,0
1,12,9,C1,0
1,12,10,C1,0
1,12,11,C1,0
1,12,12,C1,1
1,12,13,C1,1
1,12,14,C1,0
1,12,15,C1,0
1,12,16,C1,1
1,12,17,C1,1
1,12,18,C1,0
1,12,19,C1,1
1,12,20,C1,0
1,13,1,C1,0
1,13,2,C1,0
1,13,3,C1,0
1,13,4,C1,0
1,13,5,C1,1
1,13,6,C1,1
1,13,7,C1,0
1,13,8,C1,1
1,13,9,C1,0
1,13,10,C1,0
1,13,11,C1,1
1,13,12,C1,1
1,13,13,C1,0
1,13,14,C1,0
1,13,15,C1,0
1,13,16,C1,1
1,13,17,C1,0
1,13,18,C1,0
1,13,19,C1,1
1,13,20,C1,0
1,14,1,C1,1
1,14,2,C1,1
1,14,3,C1,0
1,14,4,C1,0
1,14,5,C1,0
1,14,6,C1,1
1,14,7,C1,1
1,14,8,C1,0
1,14,9,C1,1
1,14,10,C1,0
1,14,11,C1,0
1,14,12,C1,1
1,14,13,C1,0
1,14,14,C1,1
1,14,15,C1,0
1,14,16,C1,0
1,14,17,C1,1
1,14,18,C1,1
1,14,19,C1,0
1,14,20,C1,0
1,15,1,C1,1
1,15,2,C1,1
1,15,3,C1,0
1,15,4,C1,0
1,15,5,C1,0
1,15,6,C1,0
1,15,7,C1,1
1,15,8,C1,0
1,15,9,C1,1
1,15,10,C1,1
1,15,11,C1,1
1,15,12,C1,0
1,15,13,C1,1
1,15,14,C1,0
1,15,15,C1,1
1,15,16,C1,0
1,15,17,C1,1
1,15,18,C1,1
1,15,19,C1,0
1,15,20,C1,1
1,16,1,C1,1
1,16,2,C1,0
1,16,3,C1,0
1,16,4,C1,0
1,16,5,C1,1
1,16,6,C1,1
1,16,7,C1,1
1,16,8,C1,1
1,16,9,C1,0
1,16,10,C1,0
1,16,11,C1,0
1,16,12,C1,1
1,16,13,C1,0
1,16,14,C1,1
1,16,15,C1,0
1,16,16,C1,0
1,16,17,C1,0
1,16,18,C1,0
1,16,19,C1,0
1,16,20,C1,0
1,17,1,C1,0
1,17,2,C1,0
1,17,3,C1,0
1,17,4,C1,0
1,17,5,C1,1
1,17,6,C1,1
1,17,7,C1,0
1,17,8,C1,0
1,17,9,C1,0
1,17,10,C1,0
1,17,11,C1,0
1,17,12,C1,0
1,17,13,C1,0
1,17,14,C1,1
1,17,15,C1,1
1,17,16,C1,1
1,17,17,C1,0
1,17,18,C1,1
1,17,19,C1,1
1,17,20,C1,1
1,18,1,C1,0
1,18,2,C1,0
1,18,3,C1,1
1,18,4,C1,1
1,18,5,C1,0
1,18,6,C1,0
1,18,7,C1,0
1,18,8,C1,1
1,18,9,C1,1
1,18,10,C1,1
1,18,11,C1,1
1,18,12,C1,1
1,18,13,C1,1
1,18,14,C1,0
1,18,15,C1,0
1,18,16,C1,0
1,18,17,C1,1
1,18,18,C1,1
1,18,19,C1,1
1,18,20,C1,1
1,19,1,C1,0
1,19,2,C1,1
1,19,3,C1,1
1,19,4,C1,1
1,19,5,C1,0
1,19,6,C1,0
1,19,7,C1,0
1,19,8,C1,0
1,19,9,C1,1
1,19,10,C1,1
1,19,11,C1,0
1,19,12,C1,1
1,19,13,C1,0
1,19,14,C1,1
1,19,15,C1,1
1,19,16,C1,1
1,19,17,C1,0
1,19,18,C1,0
1,19,19,C1,0
1,19,20,C1,1
1,20,1,C1,1
1,20,2,C1,1
1,20,3,C1,0
1,20,4,C1,1
1,20,5,C1,1
1,20,6,C1,1
1,20,7,C1,1
1,20,8,C1,1
1,20,9,C1,0
1,20,10,C1,0
1,20,11,C1,1
1,20,12,C1,1
1,20,13,C1,1
1,20,14,C1,0
1,20,15,C1,0
1,20,16,C1,1
1,20,17,C1,1
1,20,18,C1,0
1,20,19,C1,1
1,20,20,C1,1
1,21,1,C1,1
1,21,2,C1,0
1,21,3,C1,0
1,21,4,C1,0
1,21,5,C1,1
1,21,6,C1,0
1,21,7,C1,1
1,21,8,C1,1
1,21,9,C1,0
1,21,10,C1,0
1,21,11,C1,1
1,21,12,C1,0
1,21,13,C1,1
1,21,14,C1,0
1,21,15,C1,1
1,21,16,C1,0
1,21,17,C1,0
1,21,18,C1,1
1,21,19,C1,1
1,21,20,C1,1
1,22,1,C1,0
1,22,2,C1,1
1,22,3,C1,1
1,22,4,C1,1
1,22,5,C1,0
1,22,6,C1,0
1,22,7,C1,1
1,22,8,C1,1
1,22,9,C1,1
1,22,10,C1,0
1,22,11,C1,1
1,22,12,C1,1
1,22,13,C1,0
1,22,14,C1,1
1,22,15,C1,1
1,22,16,C1,1
1,22,17,C1,1
1,22,18,C1,1
1,22,19,C1,1
1,22,20,C1,1
1,23,1,C1,1
1,23,2,C1,0
1,23,3,C1,0
