"","EyetrackingR","MyVersionPositiveT","MyVersionNegativeT"
"1",2.36587185688938,2.15307119220985,-3.20954900558896
"2",0,0,0
"3",-2.15606546468913,2.76995313720608,-2.71227819903726
"4",2.21388208478914,-2.10818510677892,-2.10818510677892
"5",0,0,0
"6",0,2.46867163118984,2.46867163118984
"7",3.3593828748507,2.10818510677892,2.10818510677892
"8",4.21295393338946,2.21388208478914,2.21388208478914
"9",-2.22330596879834,0,0
"10",0,-2.34293620952907,-2.34293620952907
"11",2.10476882661054,-2.54958582863865,-2.54958582863865
"12",0,-2.59239734945615,-2.59239734945615
"13",2.82783185437766,0,0
"14",2.44172026007226,2.36587185688938,-2.84234346485477
"15",0,3.63422915493662,3.63422915493662
"16",2.97274440581857,3.71983371095575,3.71983371095575
"17",-2.48376918359666,0,0
"18",2.25799302362937,0,0
"19",-3.08417457717258,2.89609864945713,-2.43825409136302
"20",-2.47679816456288,-2.23916443449594,-2.47679816456288
"21",0,0,0
"22",-3.06312194490894,2.16888494290298,-2.55096052050341
"23",-2.66618548391556,-2.25799302362937,-2.25799302362937
"24",-2.89663786982514,2.37802330742771,2.37802330742771
"25",-2.34936050513458,-2.49722934457863,-2.49722934457863
"26",0,0,0
"27",-2.56660293882961,0,0
"28",2.23835351154791,-2.12070034636868,-2.12070034636868
"29",0,0,0
"30",0,2.21388208478914,2.21388208478914
"31",-2.12070034636868,0,0
"32",-2.22725860462418,3.70805312835941,3.70805312835941
"33",2.37802330742771,0,0
"34",-5.10261401698187,2.3323624036192,-2.10476882661054
"35",0,0,0
"36",0,0,0
"37",-2.10818510677892,0,0
"38",0,2.46867163118984,-2.23835351154791
"39",2.19016989785258,0,0
"40",0,0,0
"41",2.10467870398631,2.3323624036192,-2.66618548391556
"42",3.4204890800986,3.1669683660287,-2.62374883916401
"43",0,0,0
"44",0,2.45506897123473,-2.26000613853934
"45",3.3593828748507,2.34936050513458,2.34936050513458
"46",-3.66631428891691,2.22725860462418,2.22725860462418
"47",2.11285007371453,2.43825409136302,2.43825409136302
"48",2.4648906473717,-2.19016989785258,-2.19016989785258
"49",0,3.71983371095575,-2.15606546468913
"50",-2.34936050513458,-2.52138231015314,-2.52138231015314
"51",0,2.34200522045872,-3.08512832757664
"52",0,3.09228708696833,3.09228708696833
"53",-3.1669683660287,0,0
"54",0,0,0
"55",0,-2.10476882661054,-2.84234346485476
"56",0,2.82783185437766,-2.89609864945713
"57",0,-2.89663786982514,-2.89663786982514
"58",0,3.10349896840578,3.07953495329996
"59",0,2.15606546468913,2.15606546468913
"60",2.11285007371453,2.25799302362937,-2.15307119220985
"61",-4.35669827855484,2.36587185688938,2.36587185688938
"62",2.82583705660136,-2.34211752171288,-2.34211752171288
"63",-3.31918477076358,0,0
"64",0,0,0
"65",2.10818510677892,-2.56660293882961,-2.56660293882961
"66",0,2.71227819903726,-2.22092957934888
"67",3.30846579942213,-2.68152842149629,-2.68152842149629
"68",0,0,0
"69",0,2.74693548622033,2.74693548622033
"70",2.25799302362937,0,0
"71",2.5855200451516,2.21402777230681,2.21402777230681
"72",0,-2.52441494359652,-2.52441494359652
"73",-2.3323624036192,-2.87689007466124,-2.87689007466124
"74",2.67100906763234,0,0
"75",0,0,0
"76",2.36587185688938,0,0
"77",-2.47679816456288,0,0
"78",0,-3.08417457717258,-3.08417457717258
"79",-4.9133282925027,2.82783185437766,2.63592133116836
"80",-2.10467870398631,0,0
"81",2.23916443449594,2.51661147842358,-2.54958582863865
"82",2.61101699849969,0,0
"83",0,0,0
"84",-2.10476882661054,0,0
"85",0,2.3323624036192,-3.15636746936407
"86",-2.12070034636868,-2.26000613853934,-2.26000613853934
"87",0,0,0
"88",2.89289807700342,0,0
"89",3.20925625510572,2.34864408377644,2.34864408377644
"90",2.92221249102399,2.34200522045872,-2.36587185688938
"91",2.300831742694,0,0
"92",2.66377157660819,0,0
"93",2.81861677368741,0,0
"94",3.57711230439641,-2.6263358283586,-2.6263358283586
